file               offset kind         packed   unpacked depth  sha1
cd32rez            594602 RNC2             68         80     0  2a154bc087af
cd32rez            594670 RNC2             96        144     0  7ff9f80c0895
cd32rez            594766 RNC2            102        144     0  1ff00b139bef
cd32rez            595060 RNC2             79         80     0  133baf42fb32
cd32rez            595140 RNC2             78         80     0  4cac26667a48
cd32rez            595218 RNC2            328        632     0  e8da5f51d957
cd32rez            595546 RNC2            198        472     0  9eb1a0a2e8e4
cd32rez            595744 RNC2            185        344     0  2599ae6d95de
cd32rez            595930 RNC2            171        344     0  9dfa057cf992
cd32rez            596102 RNC2            200        408     0  534c62643aba
cd32rez            596302 RNC2             75        144     0  ab4639a458e3
cd32rez            596378 RNC2             56         80     0  a4924d68c932
cd32rez            596434 RNC2             76        144     0  0beb62039b1a
cd32rez            596510 RNC2             76        144     0  55324e828f7d
cd32rez            596586 RNC2             76        144     0  9dec74b4dd91
cd32rez            596662 RNC2             74        144     0  bd7865a3c70a
cd32rez            596736 RNC2            227        472     0  258f762c59d1
cd32rez            596964 RNC2             67        144     0  de5ad977dd2f
cd32rez            597032 RNC2             65        144     0  db9817f2f041
cd32rez            597098 RNC2             82        144     0  be42827a29c6
cd32rez            597180 RNC2             83        144     0  2ff4f1613d8b
cd32rez            597264 RNC2            193        304     0  daf4788274db
cd32rez            597458 RNC2             83        144     0  744e1a6abc00
cd32rez            597542 RNC2            195        304     0  de205ff7971a
cd32rez            597738 RNC2            196        304     0  4fbe5256588f
cd32rez            597934 RNC2            198        304     0  31bf9c4cab08
cd32rez            598132 RNC2             98        144     0  5522a99b2424
cd32rez            598230 RNC2             94        144     0  bd86fd59abab
cd32rez            598468 RNC2           1884       2840     0  8a8cc57d1913
cd32rez            600352 RNC2             91        144     0  0003a9160187
cd32rez            600444 RNC2            110        144     0  6cc510001a4f
cd32rez            600554 RNC2            102        144     0  869aa4cab5b3
cd32rez            600656 RNC2           2734       3744     0  f4dec094754f
cd32rez            603390 RNC2            254       4696     0  db7f855badb8
cd32rez            603644 RNC2            106        216     0  8c0334a02d02
cd32rez            603750 RNC2            119        216     0  c32794469fb5
cd32rez            603870 RNC2            125        280     0  97273b85df30
cd32rez            603996 RNC2            138        280     0  d1af4297f842
cd32rez            604134 RNC2            121        280     0  2a7650beeef1
cd32rez            604256 RNC2            122        280     0  a2f2ca656bc7
cd32rez            604874 RNC2             44         48     0  faf30c3bba3c
cd32rez            604918 RNC2             46         48     0  2a09d87dbd38
cd32rez            605012 RNC2            191        304     0  12679eb46fed
cd32rez            605204 RNC2            177        304     0  11a3274a53ef
cd32rez            605382 RNC2            185        304     0  3228cf8ff465
cd32rez            605568 RNC2            166        208     0  8122d314c78e
cd32rez            605734 RNC2            163        208     0  c8a1f69d1308
cd32rez            605898 RNC2            144        208     0  e62464fdd68b
cd32rez            606042 RNC2             43         48     0  9acb80eb9fe8
cd32rez            606086 RNC2             43         48     0  4cf7ffc717e4
cd32rez            606130 RNC2             43         48     0  1dc404652418
cd32rez            606174 RNC2            101        144     0  2b2993174536
cd32rez            606276 RNC2             98        144     0  6eaf12a7831b
cd32rez            606374 RNC2             90        144     0  4dd30085457d
cd32rez            606464 RNC2             79         80     0  e1b0d9f06657
cd32rez            606784 RNC2           4923      12056     0  2b41ed5cfbbd
cd32rez            611708 RNC2           1064       1968     0  d098d3d67028
cd32rez            612772 RNC2            911       1448     0  053fa37b266c
cd32rez            613684 RNC2            145        272     0  807c5053f524
cd32rez            613830 RNC2            157        272     0  2c02853d445f
cd32rez            613988 RNC2            151        272     0  4b8119b0d5bc
cd32rez            614140 RNC2            161        272     0  88d00bb02a45
cd32rez            614302 RNC2            154        272     0  2806016a2743
